'tain	tɛ̃
abasourdirez	abazuʁdiʁe
abasourdiriez	abazuʁdiʁje
abasourdirions	abazuʁdiʁjɔ̃
abasourdirons	abazuʁdiʁɔ̃
abasourdiront	abazuʁdiʁɔ̃
abasourdissaient	abazuʁdisɛ
abasourdissais	abazuʁdisɛ
abasourdissait	abazuʁdisɛ
abasourdissant	abazuʁdisɑ̃
abasourdisse	abazuʁdis
abasourdissement	abazuʁdismɑ̃
abasourdissent	abazuʁdis
abasourdisses	abazuʁdis
abasourdissez	abazuʁdise
abasourdissiez	abazuʁdisje
abasourdissions	abazuʁdisjɔ̃
abasourdissons	abazuʁdisɔ̃
abasourdit	abazuʁdi
abasourdîmes	abazuʁdim
abasourdît	abazuʁdi
abasourdîtes	abazuʁdit
abat	aba
abattage	abataʒ
abattement	abatmɑ̃
abatteur	abatœʁ
abatteurs	abatœʁ
abatteuse	abatøz
abattis	abati
abattoir	abatwaʁ
abattre	abatʁ
abaxial	abaksjal
abaya	abaja
abbaretz	abaʁɛ
abbaroise	abaʁwaz
abbasside	abasid
abbatial	abasjal
abbaye	abei
abbaye	abɛi
abbayes	abei
abbayes	abɛi
abbecourt	abkuʁ
abbecourtoise	abkuʁtwaz
abbenanaise	abenanɛz
abbesse	abɛs
abbeville	abvil
abbeville	bevil
abbevillois	abvilwa
abbevilloise	abvilwaz
abby	abi
abbé	abe
abbécourt	abekuʁ
abbécourtoise	abekuʁtwaz
abc	abese
abcèderai	apsɛdʁe
abcèderions	apsɛdəʁjɔ̃
abcès	apsɛ
abcédait	apsedɛ
abcédas	apsedɑ
abcéder	apsede
abcéderaient	apsɛdʁɛ
abcéderas	apsɛdʁɑ
abcéderez	apsɛdʁe
abcédez	apsede
abcédographie	apsedɔɡʁafi
abcédons	apsedɔ̃
abcédâmes	apsedɑm
abcédâtes	apsedɑt
abcédé	apsede
abcédées	apsede
abdallah	abdala
abdias	abdiɑ
abdias	abdjɑ
abdication	abdikasjɔ̃
abdicatives	abdikativ
abdique	abdik
abdiquer	abdike
abdiques	abdik
abdo	abdo
abdomen	abdɔmɛn
abdominal	abdɔminal
abdominale	abdɔminal
abdominales	abdɔminal
abdominaux	abdɔmino
abdos	abdo
abdoul	abdul
abdoulaye	abdulai
abdoulla	abdula
abducteur	abdyktœʁ
abductif	abdyktif
abduction	abdyksjɔ̃
abductions	abdyksjɔ̃
abeau	abo
abeilardiser	abɛlaʁdize
abeille	abɛj
abeille	abɛːj
abeilles	abɛj
abeillée	abɛje
abel	abɛl
abelin	ablɛ̃
abelone	ablɔn
aberdeen	abɛʁdin
aberra	abɛʁa
aberrai	abɛʁe
aberraient	abɛʁɛ
aberrais	abɛʁɛ
aberrait	abɛʁɛ
aberrance	abɛʁɑ̃s
aberrant	abɛʁɑ̃
aberrante	abɛʁɑ̃t
aberrantes	abɛʁɑ̃t
aberrants	abɛʁɑ̃
aberras	abɛʁɑ
aberrasse	abɛʁas
aberrassent	abɛʁas
aberrasses	abɛʁas
aberrassiez	abɛʁasje
aberrassions	abɛʁasjɔ̃
aberration	abɛʁasjɔ̃
aberrations	abɛʁasjɔ̃
aberre	abɛʁ
aberrent	abɛʁ
aberrera	abɛʁəʁa
aberrerai	abɛʁəʁe
aberreraient	abɛʁəʁɛ
aberrerais	abɛʁəʁɛ
aberrerait	abɛʁəʁɛ
aberreras	abɛʁəʁɑ
aberrerez	abɛʁəʁe
aberreriez	abɛʁəʁje
aberrerions	abɛʁəʁjɔ̃
aberrerons	abɛʁəʁɔ̃
aberreront	abɛʁəʁɔ̃
aberres	abɛʁ
aberrez	abɛʁe
aberriez	abɛʁje
aberrions	abɛʁjɔ̃
aberrons	abɛʁɔ̃
aberrâmes	abɛʁɑm
aberrât	abɛʁɑ
aberrâtes	abɛʁɑt
aberrèrent	abɛʁɛʁ
aberré	abɛʁe
abessif	abesif
abessif	abɛsif
abeurver	abœʁve
abhorrable	abɔʁabl
abhorrables	abɔʁabl
abhorrer	abɔʁe
abidjan	abidʒɑ̃
abies	abjɛs
abigéat	abiʒea
abime	abim
abiétinée	abjetine
abject	abʒɛkt
abjection	abʒɛksjɔ̃
abjuration	abʒyʁasjɔ̃
abjurer	abʒyʁe
abkhaze	apkaz
abkhazie	apkazi
ablater	ablate
ablatif	ablatif
ablative	ablativ
ableret	abləʁɛ
ablette	ablɛt
ablier	ablije
abnégation	abneɡasjɔ̃
aboi	abwa
aboiement	abwamɑ̃
aboiteau	abwato
aboli	abɔli
abolir	abɔliʁ
abolissable	abɔlisabl
abolissables	abɔlisabl
abolition	abɔlisjɔ̃
abolitionnisme	abɔlisjɔnism
abolitionnismes	abɔlisjɔnism
abolitionniste	abɔlisjɔnist
abomey	abɔmɛ
abomiffreuse	abɔmifʁøz
abomina	abɔmina
abominable	abɔminabl
abominables	abɔminabl
abominai	abɔmine
abominaient	abɔminɛ
abominais	abɔminɛ
abominait	abɔminɛ
abominant	abɔminɑ̃
abominas	abɔminɑ
abominasse	abɔminas
abominassent	abɔminas
abominasses	abɔminas
abominassiez	abɔminasje
abominassions	abɔminasjɔ̃
abomination	abɔminasjɔ̃
abomine	abɔmin
abominent	abɔmin
abominer	abɔmine
abominera	abɔminʁa
abominerai	abɔminʁe
abomineraient	abɔminʁɛ
abominerais	abɔminʁɛ
abominerait	abɔminʁɛ
abomineras	abɔminʁɑ
abominerez	abɔminʁe
abomineriez	abɔminəʁje
abominerions	abɔminəʁjɔ̃
abominerons	abɔminʁɔ̃
abomineront	abɔminʁɔ̃
abomines	abɔmin
abominez	abɔmine
abominiez	abɔminje
abominions	abɔminjɔ̃
abominons	abɔminɔ̃
abominâmes	abɔminɑm
abominât	abɔminɑ
abominâtes	abɔminɑt
abominèrent	abɔminɛʁ
abominé	abɔmine
abondamment	abɔ̃damɑ̃
abondance	abɔ̃dɑ̃s
abondant	abɔ̃dɑ̃
abondement	abɔ̃dmɑ̃
abonder	abɔ̃de
abonnement	abɔnmɑ̃
abonner	abɔne
abonni	abɔni
abonnira	abɔniʁa
abonnirai	abɔniʁe
abonniraient	abɔniʁɛ
abonnirais	abɔniʁɛ
abonnirait	abɔniʁɛ
abonniras	abɔniʁɑ
abonnirent	abɔniʁ
abonnirez	abɔniʁe
abonniriez	abɔniʁje
abonnirions	abɔniʁjɔ̃
abonnirons	abɔniʁɔ̃
abonniront	abɔniʁɔ̃
abonnis	abɔni
abonnissaient	abɔnisɛ
abonnissais	abɔnisɛ
abonnissait	abɔnisɛ
abonnissant	abɔnisɑ̃
abonnisse	abɔnis
abonnissement	abɔnismɑ̃
abonnissent	abɔnis
abonnisses	abɔnis
abonnissez	abɔnise
abonnissiez	abɔnisje
abonnissions	abɔnisjɔ̃
abonnissons	abɔnisɔ̃
abonnit	abɔni
abonné	abɔne
abonnîmes	abɔnim
abonnît	abɔni
abonnîtes	abɔnit
abord	abɔʁ
abordable	abɔʁdabl
abordables	abɔʁdabl
aborder	abɔʁde
abordeur	abɔʁdœʁ
aborigène	abɔʁiʒɛn
aborner	abɔʁne
abornerait	abɔʁnəʁɛ
abot	abo
aboteau	abɔto
abou	abu
aboudabienne	abudabjɛn
aboudhabienne	abudabjɛn
abougrie	abuɡʁi
abouler	abule
aboutir	abutiʁ
aboutira	abutiʁa
aboutirai	abutiʁe
aboutiraient	abutiʁɛ
aboutirais	abutiʁɛ
aboutirait	abutiʁɛ
aboutiras	abutiʁɑ
aboutirent	abutiʁ
aboutirez	abutiʁe
aboutiriez	abutiʁje
aboutirions	abutiʁjɔ̃
aboutirons	abutiʁɔ̃
aboutiront	abutiʁɔ̃
aboutis	abuti
aboutissaient	abutisɛ
aboutissais	abutisɛ
aboutissait	abutisɛ
aboutissant	abutisɑ̃
aboutisse	abutis
aboutissement	abutismɑ̃
aboutissent	abutis
aboutisses	abutis
aboutissez	abutise
aboutissiez	abutisje
aboutissions	abutisjɔ̃
aboutissons	abutisɔ̃
aboutit	abuti
aboutîmes	abutim
aboutît	abuti
aboutîtes	abutit
aboyant	abwajɑ̃
aboyer	abwaje
aboyeur	abwajœʁ
abracadabra	abʁakadabʁa
abracadabrant	abʁakadabʁɑ̃
abracadabrantesque	abʁakadabʁɑ̃tɛsk
abraham	abʁaam
abrasa	abʁaza
abrasai	abʁaze
abrasaient	abʁazɛ
abrasais	abʁazɛ
abrasait	abʁazɛ
abrasant	abʁazɑ̃
abrasas	abʁaza
abrasasse	abʁazas
abrasassent	abʁazas
abrasasses	abʁazas
abrasassiez	abʁazasje
abrasassions	abʁazasjɔ̃
abrase	abʁaz
abrasent	abʁaz
abraser	abʁaze
abrasera	abʁazʁa
abraserai	abʁazʁe
abraseraient	abʁazʁɛ
abraserais	abʁazʁɛ
abraserait	abʁazʁɛ
abraseras	abʁazʁɑ
abraserez	abʁazʁe
abraseriez	abʁazəʁje
abraserions	abʁazəʁjɔ̃
abraserons	abʁazʁɔ̃
abraseront	abʁazʁɔ̃
abrases	abʁaz
abrasez	abʁaze
abrasiez	abʁazje
abrasif	abʁazif
abrasons	abʁazɔ̃
abrasâmes	abʁazɑm
abrasât	abʁaza
abrasâtes	abʁazɑt
abrasèrent	abʁazɛʁ
abrasé	abʁaze
abreuver	abʁœve
abreuvoir	abʁœvwaʁ
abri	abʁi
abria	abʁija
abrias	abʁija
abribus	abʁibys
abricot	abʁiko
abricotier	abʁikɔtje
abricotine	abʁikɔtin
abricoté	abʁikɔte
abrier	abʁije
abris	abʁi
abriter	abʁite
abrivent	abʁivɑ̃
abriât	abʁija
abrogation	abʁɔɡasjɔ̃
abrogatrice	abʁɔɡatʁis
abroge	abʁɔʒ
abrogea	abʁɔʒa
abrogeable	abʁɔʒabl
abrogeables	abʁɔʒabl
abrogeai	abʁɔʒe
abrogeaient	abʁɔʒɛ
abrogeais	abʁɔʒɛ
abrogeait	abʁɔʒɛ
abrogeant	abʁɔʒɑ̃
abrogeas	abʁɔʒɑ
abrogeasse	abʁɔʒas
abrogeassent	abʁɔʒas
abrogeasses	abʁɔʒas
abrogeassiez	abʁɔʒasje
abrogeassions	abʁɔʒasjɔ̃
abrogent	abʁɔʒ
abrogeons	abʁɔʒɔ̃
abroger	abʁɔʒe
abrogera	abʁɔʒʁa
abrogerai	abʁɔʒʁe
abrogeraient	abʁɔʒʁɛ
abrogerais	abʁɔʒʁɛ
abrogerait	abʁɔʒʁɛ
abrogeras	abʁɔʒʁɑ
abrogerez	abʁɔʒʁe
abrogeriez	abʁɔʒəʁje
abrogerions	abʁɔʒəʁjɔ̃
abrogerons	abʁɔʒʁɔ̃
abrogeront	abʁɔʒʁɔ̃
abroges	abʁɔʒ
abrogez	abʁɔʒe
abrogeâmes	abʁɔʒɑm
abrogeât	abʁɔʒɑ
abrogeâtes	abʁɔʒɑt
abrogiez	abʁɔʒje
abrogions	abʁɔʒjɔ̃
abrogèrent	abʁɔʒɛʁ
abrogé	abʁɔʒe
abrouti	abʁuti
abroutir	abʁutiʁ
abroutira	abʁutiʁa
abroutirai	abʁutiʁe
abroutiraient	abʁutiʁɛ
abroutirais	abʁutiʁɛ
abroutirait	abʁutiʁɛ
abroutiras	abʁutiʁɑ
abroutirent	abʁutiʁ
abroutirez	abʁutiʁe
abroutiriez	abʁutiʁje
abroutirions	abʁutiʁjɔ̃
abroutirons	abʁutiʁɔ̃
abroutiront	abʁutiʁɔ̃
abroutis	abʁuti
abroutissaient	abʁutisɛ
abroutissais	abʁutisɛ
abroutissait	abʁutisɛ
abroutissant	abʁutisɑ̃
abroutisse	abʁutis
abroutissent	abʁutis
abroutisses	abʁutis
abroutissez	abʁutise
abroutissiez	abʁutisje
abroutissions	abʁutisjɔ̃
abroutissons	abʁutisɔ̃
abroutit	abʁuti
abroutîmes	abʁutim
abroutît	abʁuti
abroutîtes	abʁutit
abrupt	abʁypt
abruptement	abʁyptəmɑ̃
abruti	abʁyti
abrutira	abʁytiʁa
abrutirai	abʁytiʁe
abrutiraient	abʁytiʁɛ
abrutirais	abʁytiʁɛ
abrutirait	abʁytiʁɛ
abrutiras	abʁytiʁɑ
abrutirent	abʁytiʁ
abrutirez	abʁytiʁe
abrutiriez	abʁytiʁje
abrutirions	abʁytiʁjɔ̃
abrutirons	abʁytiʁɔ̃
abrutiront	abʁytiʁɔ̃
abrutis	abʁyti
abrutissaient	abʁytisɛ
abrutissais	abʁytisɛ
abrutissait	abʁytisɛ
abrutissant	abʁytisɑ̃
abrutisse	abʁytis
abrutissent	abʁytis
abrutisses	abʁytis
abrutissez	abʁytise
abrutissiez	abʁytisje
abrutissions	abʁytisjɔ̃
abrutissons	abʁytisɔ̃
abrutit	abʁyti
abrutîmes	abʁytim
abrutît	abʁyti
abrutîtes	abʁytit
abruzzes	abʁyz
abrègement	abʁɛʒmɑ̃
abréagi	abʁeaʒi
abréagir	abʁeaʒiʁ
abréagira	abʁeaʒiʁa
abréagirai	abʁeaʒiʁe
abréagiraient	abʁeaʒiʁɛ
abréagirais	abʁeaʒiʁɛ
abréagirait	abʁeaʒiʁɛ
abréagiras	abʁeaʒiʁɑ
abréagirent	abʁeaʒiʁ
abréagirez	abʁeaʒiʁe
abréagiriez	abʁeaʒiʁje
abréagirions	abʁeaʒiʁjɔ̃
abréagirons	abʁeaʒiʁɔ̃
abréagiront	abʁeaʒiʁɔ̃
abréagis	abʁeaʒi
abréagissaient	abʁeaʒisɛ
abréagissais	abʁeaʒisɛ
abréagissait	abʁeaʒisɛ
abréagissant	abʁeaʒisɑ̃
abréagisse	abʁeaʒis
abréagissent	abʁeaʒis
abréagisses	abʁeaʒis
abréagissez	abʁeaʒise
abréagissiez	abʁeaʒisje
abréagissions	abʁeaʒisjɔ̃
abréagissons	abʁeaʒisɔ̃
abréagit	abʁeaʒi
abréagîmes	abʁeaʒim
abréagît	abʁeaʒi
abréagîtes	abʁeaʒit
abrégement	abʁɛʒmɑ̃
abréger	abʁeʒe
abrégé	abʁeʒe
abréviateur	abʁevjatœʁ
abréviation	abʁevjasjɔ̃
abrévier	abʁevje
abréviez	abʁevje
abs	abeɛs
absalom	apsalɔm
abscisse	apsis
abscission	apsisjɔ̃
absconder	apskɔ̃de
abscons	apskɔ̃
absconse	apskɔ̃s
absconser	apskɔ̃se
absence	apsɑ̃s
absent	apsɑ̃
absenter	apsɑ̃te
absents	apsɑ̃
absentéisme	apsɑ̃teism
absentéiste	apsɑ̃teist
abside	apsid
absidial	apsidjal
absidiale	apsidjal
absinthe	apsɛ̃t
absinthée	apsɛ̃te
absolu	apsɔly
absolue	apsɔly
absolues	apsɔly
absolument	apsɔlymɑ̃
absolus	apsɔly
absolution	apsɔlysjɔ̃
absolutisme	apsɔlytism
absolutrice	apsɔlytʁis
absorbable	apsɔʁbabl
absorbant	apsɔʁbɑ̃
absorbent	apsɔʁbɑ̃
absorber	apsɔʁbe
absorption	apsɔʁpsjɔ̃
absorptivité	apsɔʁptivite
absoudre	apsudʁ
absous	apsu
absout	apsu
abstenir	apstəniʁ
abstention	apstɑ̃sjɔ̃
abstinent	apstinɑ̃
abstraction	apstʁaksjɔ̃
abstractionnisme	apstʁaksjɔnism
abstractionnismes	apstʁaksjɔnism
abstractions	apstʁaksjɔ̃
abstraire	apstʁɛʁ
abstrait	apstʁɛ
abstrus	apstʁy
abstème	apstɛm
absurde	apsyʁd
absurdement	apsyʁdəmɑ̃
absurdie	apsyʁdi
absurdité	apsyʁdite
abugida	abuɡida
abus	aby
abusa	abyza
abusai	abyze
abusaient	abyzɛ
abusais	abyzɛ
abusait	abyzɛ
abusant	abyzɑ̃
abusas	abyzɑ
abusasse	abyzas
abusassent	abyzas
abusasses	abyzas
abusassiez	abyzasje
abusassions	abyzasjɔ̃
abusent	abyz
abuser	abyze
abusera	abyzʁa
abuserai	abyzʁe
abuseraient	abyzʁɛ
abuserais	abyzʁɛ
abuserait	abyzʁɛ
abuseras	abyzʁɑ
abuserez	abyzʁe
abuseriez	abyzəʁje
abuserions	abyzəʁjɔ̃
abuserons	abyzʁɔ̃
abuseront	abyzʁɔ̃
abuses	abyz
abusez	abyze
abusiez	abyzje
abusif	abyzif
abusions	abyzjɔ̃
abusivement	abyzivmɑ̃
abusons	abyzɔ̃
abusâmes	abyzɑm
abusât	abyzɑ
abusâtes	abyzɑt
abusèrent	abyzɛʁ
abyme	abim
abyssal	abisal
abyssin	abisɛ̃
abyssinie	abisini
abyssinien	abisinjɛ̃
abâtardissement	abɑtaʁdismɑ̃
abécédaire	abesedɛʁ
abée	abe
abélard	abelaʁ
abélia	abelja
abélianiser	abeljanize
abélien	abeljɛ̃
abéliser	abelize
abérier	abeʁje
abêtifier	abetifje
abêtir	abetiʁ
abêtir	abɛtiʁ
abêtissement	abɛtismɑ̃
abêtissements	abɛtismɑ̃
abîme	abim
abîmer	abime
acabit	akabi
acacia	akasja
académicien	akademisjɛ̃
académicienne	akademisjɛn
académie	akademi
académique	akademik
académiste	akademist
acafalée	akafale
acajou	akaʒu
acalifourchonnée	akalifuʁʃɔne
acanthe	akɑ̃t
acanthocarpe	akɑ̃tɔkaʁp
acanthure	akɑ̃tyʁ
acanthé	akɑ̃te
acanthée	akɑ̃te
acanthées	akɑ̃te
acanthés	akɑ̃te
acapsulée	akapsyle
acarien	akaʁjɛ̃
acariâtre	akaʁjɑtʁ
acastilleur	akastijœʁ
accable	akabl
accabler	akable
accabler	akɑble
accadienne	akadjɛn
accalminée	akalmine
accaparer	akapaʁe
accent	aksɑ̃
accentuelle	aksɑ̃tɥɛl
accentuer	aksɑ̃tɥe
acceptable	aksɛptabl
acceptables	aksɛptabl
acceptant	aksɛptɑ̃
acceptante	aksɛptɑ̃t
acceptation	aksɛptasjɔ̃
acceptative	aksɛptativ
accepter	aksɛpte
acception	aksɛpsjɔ̃
acceptions	aksɛpsjɔ̃
acceptions	aksɛptjɔ̃
accepté	aksɛpte
accesseur	aksɛsœʁ
accessible	aksesibl
accessible	aksɛsibl
accessibles	aksɛsibl
accessit	aksesit
accessit	aksɛsit
accessoire	akseswaʁ
accessoiriser	aksɛswaʁize
accident	aksidɑ̃
accidentel	aksidɑ̃tɛl
accidentellement	aksidɑ̃tɛlmɑ̃
accidenter	aksidænter
accidenté	aksidɑ̃te
accipitrin	aksipitʁɛ̃
accipitrine	aksipitʁin
accipitrines	aksipitʁin
accipitrins	aksipitʁɛ̃
accisien	aksizjɛ̃
accisienne	aksizjɛn
acclama	aklama
acclamai	aklame
acclamaient	aklamɛ
acclamais	aklamɛ
acclamait	aklamɛ
acclamant	aklamɑ̃
acclamas	aklamɑ
acclamasse	aklamas
acclamassent	aklamas
acclamasses	aklamas
acclamassiez	aklamasje
acclamassions	aklamasjɔ̃
acclamation	aklamasjɔ̃
acclamative	aklamativ
acclame	aklam
acclament	aklam
acclamer	aklame
acclamera	aklamʁa
acclamerai	aklamʁe
acclameraient	aklamʁɛ
acclamerais	aklamʁɛ
acclamerait	aklamʁɛ
acclameras	aklamʁɑ
acclamerez	aklamʁe
acclameriez	aklaməʁje
acclamerions	aklaməʁjɔ̃
acclamerons	aklamʁɔ̃
acclameront	aklamʁɔ̃
acclames	aklam
acclamez	aklame
acclamiez	aklamje
acclamions	aklamjɔ̃
acclamons	aklamɔ̃
acclamâmes	aklamɑm
acclamât	aklamɑ
acclamâtes	aklamɑt
acclamèrent	aklamɛʁ
acclamé	aklame
acclimatation	aklimatasjɔ̃
acclimatement	aklimatmɑ̃
acclimater	aklimate
accointer	akwɛ̃te
accolade	akɔlad
accolades	akɔlad
accoler	akɔle
accolé	akɔle
accombante	akɔ̃bɑ̃t
accommodant	akɔmɔdɑ̃
accommodation	akɔmɔdasjɔ̃
accommodatrice	akɔmɔdatʁis
accommodement	akɔmɔdmɑ̃
accommoder	akɔmɔde
accompagnateur	akɔ̃paɲatœʁ
accompagnateurs	akɔ̃paɲatœʁ
accompagnatrice	akɔ̃paɲatʁis
accompagnatrices	akɔ̃paɲatʁis
accompagnement	akɔ̃paɲmɑ̃
accompagner	akɔ̃paɲe
accompagné	akɔ̃paɲe
accompli	akɔ̃pli
accomplir	akɔ̃pliʁ
accomplira	akɔ̃pliʁa
accomplirai	akɔ̃pliʁe
accompliraient	akɔ̃pliʁɛ
accomplirais	akɔ̃pliʁɛ
accomplirait	akɔ̃pliʁɛ
accompliras	akɔ̃pliʁɑ
accomplirent	akɔ̃pliʁ
accomplirez	akɔ̃pliʁe
accompliriez	akɔ̃pliʁje
accomplirions	akɔ̃pliʁjɔ̃
accomplirons	akɔ̃pliʁɔ̃
accompliront	akɔ̃pliʁɔ̃
accomplissaient	akɔ̃plisɛ
accomplissais	akɔ̃plisɛ
accomplissait	akɔ̃plisɛ
accomplissant	akɔ̃plisɑ̃
accomplisse	akɔ̃plis
accomplissement	akɔ̃plismɑ̃
accomplissent	akɔ̃plis
accomplisses	akɔ̃plis
accomplissez	akɔ̃plise
accomplissiez	akɔ̃plisje
accomplissions	akɔ̃plisjɔ̃
accomplissons	akɔ̃plisɔ̃
accomplit	akɔ̃pli
accomplîmes	akɔ̃plim
accomplît	akɔ̃pli
accomplîtes	akɔ̃plit
accord	akɔʁ
accordailles	akɔʁdaj
accordant	akɔʁdɑ̃
accorder	akɔʁde
accordé	akɔʁde
accordée	akɔʁde
accordéon	akɔʁdeɔ̃
accordéoniste	akɔʁdeɔnist
accordéonistes	akɔʁdeɔnist
accordéons	akɔʁdeɔ̃
accornée	akɔʁne
accort	akɔʁ
accosta	akɔsta
accostai	akɔste
accostaient	akɔstɛ
accostais	akɔstɛ
accostait	akɔstɛ
accostant	akɔstɑ̃
accostas	akɔstɑ
accostasse	akɔstas
accostassent	akɔstas
accostasses	akɔstas
accostassiez	akɔstasje
accostassions	akɔstasjɔ̃
accoste	akɔst
accostent	akɔst
accoster	akɔste
accostera	akɔstəʁa
accosterai	akɔstəʁe
accosteraient	akɔstəʁɛ
accosterais	akɔstəʁɛ
accosterait	akɔstəʁɛ
accosteras	akɔstəʁɑ
accosterez	akɔstəʁe
accosteriez	akɔstəʁje
accosterions	akɔstəʁjɔ̃
accosterons	akɔstəʁɔ̃
accosteront	akɔstəʁɔ̃
accostes	akɔst
accostez	akɔste
accostiez	akɔstje
accostions	akɔstjɔ̃
accostons	akɔstɔ̃
accostâmes	akɔstɑm
accostât	akɔstɑ
accostâtes	akɔstɑt
accostèrent	akɔstɛʁ
accosté	akɔste
accoter	akɔte
accouchement	akuʃmɑ̃
accoucher	akuʃe
accoucheur	akuʃœʁ
accoucheurs	akuʃœʁ
accoucheuse	akuʃøz
accoucheuses	akuʃøz
accouder	akude
accoudoir	akudwaʁ
accouplement	akupləmɑ̃
accoupler	akuple
accourcir	akuʁsiʁ
accourcissement	akuʁsismɑ̃
accourir	akuʁiʁ
accoutrement	akutʁəmɑ̃
accoutrer	akutʁe
accoutumance	akutymɑ̃s
accoutumer	akutyme
accoutumé	akutyme
accrescent	akʁɛsɑ̃
accrescente	akʁɛsɑ̃t
accro	akʁo
accroc	akʁo
accrocher	akʁɔʃe
accrocheur	akʁɔʃœʁ
accroissement	akʁwasmɑ̃
accroupi	akʁupi
accroupir	akʁupiʁ
accroître	akʁwatʁ
accrue	akʁy
accréditation	akʁeditasjɔ̃
accréditer	akʁedite
accréditrice	akʁeditʁis
accrédité	akʁedite
accréditée	akʁedite
accrémentitielle	akʁemɑ̃tisjɛl
accrétion	akʁesjɔ̃
accrétions	akʁesjɔ̃
accu	aky
accueil	akœj
accueillir	akœjiʁ
accula	akyla
acculai	akyle
acculaient	akylɛ
acculais	akylɛ
acculait	akylɛ
acculant	akylɑ̃
acculas	akylɑ
acculasse	akylas
acculassent	akylas
acculasses	akylas
acculassiez	akylasje
acculassions	akylasjɔ̃
accule	akyl
acculent	akyl
acculer	akyle
acculera	akylʁa
acculerai	akylʁe
acculeraient	akylʁɛ
acculerais	akylʁɛ
acculerait	akylʁɛ
acculeras	akylʁɑ
acculerez	akylʁe
acculeriez	akyləʁje
acculerions	akyləʁjɔ̃
acculerons	akylʁɔ̃
acculeront	akylʁɔ̃
accules	akyl
acculez	akyle
acculiez	akylje
acculions	akyljɔ̃
acculons	akylɔ̃
acculturation	akyltyʁasjɔ̃
acculturer	akyltyʁe
acculâmes	akylɑm
acculât	akylɑ
acculâtes	akylɑt
acculèrent	akylɛʁ
acculé	akyle
accumulateur	akymylatœʁ
accumulation	akymylasjɔ̃
accumuler	akymyle
accusatif	akyzatif
accusation	akyzasjɔ̃
accuser	akyze
accusé	akyze
accès	aksɛ
accéder	aksede
accélère	akselɛʁ
accélèrent	akselɛʁ
accélères	akselɛʁ
accéléra	akseleʁa
accélérai	akseleʁe
accélérateur	akseleʁatœʁ
accélération	akseleʁasjɔ̃
accélérer	akseleʁe
accélérez	akseleʁe
accélérons	akseleʁɔ̃
accélérèrent	akseleʁɛʁ
ace	ɛjs
ace	ɛs
acentrée	asɑ̃tʁe
acerbe	asɛʁb
acescent	asɛsɑ̃
acescente	asɛsɑ̃t
acescentes	asɛsɑ̃t
achaine	aʃɛn
achalander	aʃalɑ̃de
achalandé	aʃalɑ̃de
achaler	aʃale
achard	aʃaʁ
acharner	aʃaʁne
achat	aʃa
achaïe	akai
ache	aʃ
acheminement	aʃminmɑ̃
acheminer	aʃmine
acheter	aʃte
acheter	aʃəte
acheteur	aʃtœʁ
acheuléenne	aʃøleɛn
achever	aʃve
achevé	aʃve
achigan	aʃiɡɑ̃
achille	aʃil
achilletalonesque	aʃiltalɔnɛsk
achilletalonnesque	aʃiltalɔnɛsk
achillée	akile
achiléenne	aʃileɛn
achkenaze	aʃkenaz
achkénaze	aʃkenaz
acholie	akɔli
achondroplasie	akɔ̃dʁɔplazi
achoppa	aʃɔpa
achoppai	aʃɔpe
achoppaient	aʃɔpɛ
achoppais	aʃɔpɛ
